machine_no,model_key,total_games,hatsuatari,current_games,diff_coins
201,smash_hokuto,6282,15,820,47
202,monkey_turn_5,8050,32,1,88
203,smash_hokuto,5959,9,40,243
204,monkey_turn_5,7016,28,503,557
205,smash_hokuto,6993,13,28,-772
206,monkey_turn_5,3140,14,614,69
207,smash_hokuto,7904,16,178,1010
208,monkey_turn_5,8656,33,4,-531
209,smash_hokuto,3661,12,43,-157
210,monkey_turn_5,8251,34,408,353
211,smash_hokuto,6526,22,192,2230
212,monkey_turn_5,5505,17,187,695
213,smash_hokuto,3491,10,335,1968
214,monkey_turn_5,3365,16,416,339
215,smash_hokuto,6865,19,59,-337
216,monkey_turn_5,4616,20,172,-370
221,okidoki_gold,6056,27,1116,-968
222,bancho_zero,6178,14,32,-195
223,okidoki_gold,4078,19,681,-355
224,bancho_zero,3914,18,302,-374
225,okidoki_gold,5843,30,566,-907
226,bancho_zero,7167,23,215,1637
227,okidoki_gold,7846,39,1086,-622
228,bancho_zero,3838,14,25,892
229,okidoki_gold,8436,32,203,-159
230,bancho_zero,8689,32,408,152
231,okidoki_gold,6107,26,17,-794
232,bancho_zero,6798,14,186,-487
233,okidoki_gold,8888,48,186,96
234,bancho_zero,8639,26,146,251
235,okidoki_gold,5933,30,440,-190
236,bancho_zero,3437,15,149,-670
241,tensura,7341,20,158,-307
242,godzilla_eva,8519,28,532,917
243,tensura,3944,11,9,417
244,godzilla_eva,4857,9,321,-264
245,tensura,7838,27,275,-374
246,godzilla_eva,8919,37,338,-382
247,tensura,8091,23,332,2482
248,godzilla_eva,5762,16,6,-528
249,tensura,3952,6,383,-304
250,godzilla_eva,8488,12,95,-1277
251,tensura,6445,14,384,-194
252,godzilla_eva,8924,25,793,-306
253,tensura,5225,10,20,-299
254,godzilla_eva,4608,8,623,-742
255,tensura,2752,11,240,492
256,godzilla_eva,6952,15,171,-143
